Date,Open,High,Low,Close
07/09/19,1728.46,1734.35,1721.33,1721.48
07/08/19,1727.10,1734.13,1722.53,1731.03
07/05/19,1725.45,1731.84,1719.61,1731.23
07/04/19,1741.31,1747.11,1714.98,1724.37
07/03/19,1733.51,1742.17,1729.79,1738.51
07/02/19,1732.23,1741.64,1730.05,1732.23
07/01/19,1740.91,1747.53,1739.48,1740.91
06/28/19,1731.89,1735.61,1729.46,1730.34
06/27/19,1726.77,1735.88,1725.55,1731.64
06/26/19,1717.19,1723.24,1715.41,1722.21
06/25/19,1716.05,1725.42,1707.77,1721.33
06/24/19,1722.64,1724.23,1713.02,1716.00
06/21/19,1722.60,1727.83,1714.09,1717.14
06/20/19,1711.37,1722.90,1708.12,1717.82
06/19/19,1693.85,1711.89,1691.95,1705.98
06/18/19,1667.30,1683.78,1665.19,1683.60
06/17/19,1667.23,1678.20,1667.15,1667.23
06/14/19,1673.55,1675.90,1667.38,1672.33
06/13/19,1669.53,1675.84,1663.39,1674.14
06/12/19,1669.08,1672.50,1665.02,1671.11
06/11/19,1667.55,1675.60,1663.36,1670.41
06/10/19,1661.72,1667.69,1661.37,1664.73
06/07/19,1656.84,1658.93,1650.30,1653.50
06/06/19,1648.54,1655.33,1643.27,1653.41
06/05/19,1647.52,1650.70,1642.35,1648.46
06/04/19,1624.65,1640.54,1622.99,1637.69
05/31/19,1620.58,1627.33,1612.17,1620.22
05/30/19,1619.26,1628.37,1618.63,1621.57
05/29/19,1631.29,1632.06,1618.71,1619.36
05/28/19,1627.86,1632.47,1618.33,1632.04
05/27/19,1619.66,1628.34,1614.05,1624.84
05/24/19,1604.67,1617.62,1599.10,1614.12
05/23/19,1622.21,1625.98,1608.26,1609.79
05/22/19,1616.55,1628.06,1616.49,1626.91
05/21/19,1608.82,1616.55,1602.56,1610.49
05/17/19,1618.99,1622.33,1606.69,1608.11
05/16/19,1623.33,1626.08,1604.76,1614.75
05/15/19,1636.83,1638.94,1621.27,1621.27
05/14/19,1631.52,1639.63,1629.56,1633.84
05/13/19,1648.09,1652.33,1634.93,1640.13
05/10/19,1654.26,1656.37,1638.71,1648.69
05/09/19,1653.12,1659.38,1646.07,1646.80
05/08/19,1662.05,1663.40,1650.24,1654.01
05/07/19,1669.38,1675.16,1665.58,1669.68
05/02/19,1677.00,1682.50,1675.90,1679.17
04/30/19,1668.02,1676.64,1667.29,1673.52
04/29/19,1665.57,1669.55,1663.33,1666.68
04/26/19,1673.28,1674.01,1663.14,1667.15
04/25/19,1673.25,1678.19,1670.84,1673.32
04/24/19,1674.43,1676.84,1668.06,1673.43
04/23/19,1674.82,1679.26,1670.75,1671.31
04/22/19,1677.83,1683.79,1673.44,1673.48
04/19/19,1675.37,1679.75,1671.83,1674.10
04/18/19,1674.74,1677.14,1667.70,1675.00
04/17/19,1665.68,1676.00,1664.04,1673.20
04/12/19,1658.00,1662.60,1654.46,1660.45
04/11/19,1661.57,1662.53,1656.33,1659.09
04/10/19,1659.29,1664.68,1658.26,1662.13
04/09/19,1650.55,1660.31,1648.23,1657.74
04/05/19,1646.03,1649.99,1643.13,1646.18
04/04/19,1649.39,1650.75,1640.01,1644.22
04/03/19,1653.08,1654.02,1646.01,1649.06
04/02/19,1650.54,1655.09,1647.93,1651.48
04/01/19,1645.37,1651.14,1644.22,1644.64
03/29/19,1639.31,1644.27,1635.24,1638.65
03/28/19,1626.60,1637.60,1625.77,1634.25
03/27/19,1632.27,1635.43,1624.26,1629.40
03/26/19,1626.89,1634.19,1622.94,1632.32
03/25/19,1632.03,1636.93,1617.89,1625.91
03/22/19,1636.69,1646.94,1633.67,1646.29
03/21/19,1631.79,1640.04,1631.41,1634.00
03/20/19,1631.44,1635.42,1626.97,1627.62
03/19/19,1617.87,1633.26,1617.01,1630.09
03/18/19,1628.85,1630.45,1612.85,1617.57
03/15/19,1636.82,1639.10,1625.41,1625.57
03/14/19,1642.36,1643.56,1634.70,1635.88
03/13/19,1626.42,1639.69,1623.75,1639.67
03/12/19,1631.88,1633.97,1624.55,1627.59
03/11/19,1633.45,1636.20,1625.06,1627.43
03/08/19,1631.69,1637.46,1626.33,1630.12
03/07/19,1624.76,1635.77,1623.32,1633.21
03/06/19,1636.68,1639.42,1624.68,1625.51
03/05/19,1633.51,1641.56,1629.55,1639.00
03/04/19,1641.32,1643.53,1632.83,1635.30
03/01/19,1655.27,1656.64,1640.57,1641.44
02/28/19,1666.33,1666.74,1652.71,1653.48
02/27/19,1663.92,1668.61,1659.62,1665.27
